Reports
-------
LLM-only  : /Users/grantyeh/Grant/Project/CHT/TIO_Experiment/phase1/phase1_llm_only.json
GraphRag  : /Users/grantyeh/Grant/Project/CHT/TIO_Experiment/phase1/phase1_graphrag.json
KGE       : /Users/grantyeh/Grant/Project/CHT/TIO_Experiment/phase1/phase1_kge.json
KAG       : /Users/grantyeh/Grant/Project/CHT/TIO_Experiment/phase1/phase1_kag.json
Test cases: /Users/grantyeh/Grant/Project/CHT/TIO_Experiment/test_cases_20.json

Four-Way Summary
----------------
Experiment     | Cases | Parse OK   | Avg coverage | Cov=100%   | Avg triples  | Pure TTL   | Unk pred  | Unk type  | Intent ID OK
--------------------------------------------------------------------------------------------------------------------------------------
LLM-only       |    20 |    100.00% |       1.0000 |    100.00% |        36.70 |    100.00% |         0 |         0 |       100.00%
GraphRag       |    20 |    100.00% |       1.0000 |    100.00% |        36.40 |    100.00% |         0 |         0 |       100.00%
KGE            |    20 |    100.00% |       1.0000 |    100.00% |        35.80 |    100.00% |         0 |         0 |       100.00%
KAG            |    20 |    100.00% |       1.0000 |    100.00% |        35.95 |    100.00% |         0 |         0 |       100.00%

Best average expected coverage  : LLM-only (1.0000)
Fewest average triples          : KGE (35.80)
Cleanest vocabulary (unk pred+type): LLM-only (0)

Per-Case Four-Way Comparison
----------------------------
case_id  |    LLM cov | GraphRag cov |    KGE cov |    KAG cov | winner     |    LLM triples | GraphRag triples |    KGE triples |    KAG triples | difficulty
----------------------------------------------------------------------------------------------------------------------------------------------
TC001    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             32 |             35 | Simple    
TC002    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             38 |             35 |             32 |             35 | Simple    
TC003    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Simple    
TC004    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Medium    
TC005    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             38 |             35 |             35 | Medium    
TC006    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Simple    
TC007    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Medium    
TC008    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Medium    
TC009    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Simple    
TC010    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             38 |             32 | Medium    
TC011    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Medium    
TC012    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Simple    
TC013    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             41 |             38 |             35 |             35 | Medium    
TC014    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             38 |             35 |             35 |             35 | Medium    
TC015    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Simple    
TC016    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             38 |             35 | Medium    
TC017    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             32 |             35 | Medium    
TC018    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             35 |             35 | Simple    
TC019    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             35 |             35 |             32 |             35 | Medium    
TC020    |     1.0000 |     1.0000 |     1.0000 |     1.0000 | tie        |             57 |             57 |             57 |             57 | Complex   
